Flight Number,Origin,Destination,Departure Datetime,Arrival Datetime,Elapsed Minutes,Cheapest Price,Search URL,Error Status,Equipment
B6 2126,MBJ,FLL,09/16/2025 11:45am,09/16/2025 2:32pm,107,$226,https://www.jetblue.com/booking/cb-flights?from=MBJ&to=FLL&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 826,MBJ,FLL,09/16/2025 3:13pm,09/16/2025 5:59pm,106,$241,https://www.jetblue.com/booking/cb-flights?from=MBJ&to=FLL&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 780,MBJ,JFK,09/16/2025 1:09pm,09/16/2025 6:00pm,231,$317,https://www.jetblue.com/booking/cb-flights?from=MBJ&to=JFK&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 580,MBJ,JFK,09/16/2025 4:39pm,09/16/2025 9:30pm,231,$282,https://www.jetblue.com/booking/cb-flights?from=MBJ&to=JFK&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 522,MBJ,MCO,09/16/2025 1:13pm,09/16/2025 4:22pm,129,$263,https://www.jetblue.com/booking/cb-flights?from=MBJ&to=MCO&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2126,MBJ,MCO,09/16/2025 11:45am,09/16/2025 9:45pm,540,$305,https://www.jetblue.com/booking/cb-flights?from=MBJ&to=MCO&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 138,MCO,BDL,09/16/2025 2:19pm,09/16/2025 5:13pm,174,$89,https://www.jetblue.com/booking/cb-flights?from=MCO&to=BDL&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 552,MCO,BOS,09/16/2025 7:40am,09/16/2025 10:40am,180,$89,https://www.jetblue.com/booking/cb-flights?from=MCO&to=BOS&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1452,MCO,BOS,09/16/2025 9:14am,09/16/2025 12:17pm,183,$89,https://www.jetblue.com/booking/cb-flights?from=MCO&to=BOS&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 652,MCO,BOS,09/16/2025 12:20pm,09/16/2025 3:54pm,214,$116,https://www.jetblue.com/booking/cb-flights?from=MCO&to=BOS&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2052,MCO,BOS,09/16/2025 3:00pm,09/16/2025 6:23pm,203,$99,https://www.jetblue.com/booking/cb-flights?from=MCO&to=BOS&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1152,MCO,BOS,09/16/2025 5:20pm,09/16/2025 8:31pm,191,$99,https://www.jetblue.com/booking/cb-flights?from=MCO&to=BOS&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 730,MCO,BQN,09/16/2025 4:25pm,09/16/2025 7:13pm,168,$211,https://www.jetblue.com/booking/cb-flights?from=MCO&to=BQN&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1586,MCO,BUF,09/16/2025 6:30pm,09/16/2025 9:07pm,157,$79,https://www.jetblue.com/booking/cb-flights?from=MCO&to=BUF&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1013,MCO,CUN,09/16/2025 1:14pm,09/16/2025 2:20pm,126,$309,https://www.jetblue.com/booking/cb-flights?from=MCO&to=CUN&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2324,MCO,DCA,09/16/2025 11:19am,09/16/2025 1:28pm,129,$69,https://www.jetblue.com/booking/cb-flights?from=MCO&to=DCA&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2424,MCO,DCA,09/16/2025 4:03pm,09/16/2025 6:16pm,133,$69,https://www.jetblue.com/booking/cb-flights?from=MCO&to=DCA&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 2028,MCO,EWR,09/16/2025 10:05am,09/16/2025 12:49pm,164,$104,https://www.jetblue.com/booking/cb-flights?from=MCO&to=EWR&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
B6 1728,MCO,EWR,09/16/2025 5:00pm,09/16/2025 7:46pm,166,$104,https://www.jetblue.com/booking/cb-flights?from=MCO&to=EWR&depart=09%2F16%2F2025&isMultiCity=false&noOfRoute=1&adults=1&children=0&infants=0&sharedMarket=false&roundTripFaresFlag=false&usePoints=false,OK,
